"uf","processos"
"SP","9139"
"RS","6164"
"RJ","4467"
"MG","4482"
"PR","2193"
"SC","1542"
"DF","3124"
"PE","779"
"BA","802"
"CE","377"
"RN","648"
"PB","249"
"GO","589"
"AL","220"
"ES","531"
"MS","492"
"AM","684"
"PA","390"
"MT","378"
"SE","327"
"MA","194"
"RO","180"
"PI","320"
"AC","61"
"RR","128"
"TO","65"
"AP","29"
