"uf","processos"
"SP","17589"
"RS","15061"
"RJ","9209"
"MG","15472"
"PR","5970"
"SC","6961"
"DF","6054"
"PE","1190"
"BA","2790"
"CE","1206"
"RN","1035"
"PB","617"
"GO","986"
"AL","762"
"ES","895"
"MS","546"
"AM","601"
"PA","1058"
"MT","1013"
"SE","444"
"MA","526"
"RO","295"
"PI","257"
"AC","249"
"RR","93"
"TO","138"
"AP","127"
