"uf","processos"
"SP","26249"
"RS","20406"
"RJ","12938"
"MG","9582"
"PR","6230"
"SC","5007"
"DF","6013"
"PE","3358"
"BA","4018"
"CE","874"
"RN","1719"
"PB","1083"
"GO","1495"
"AL","401"
"ES","1181"
"MS","1322"
"AM","918"
"PA","838"
"MT","625"
"SE","791"
"MA","479"
"RO","377"
"PI","336"
"AC","177"
"RR","287"
"TO","140"
"AP","95"
