"uf","processos"
"ES","1358"
"MS","1711"
"AM","1339"
"PA","604"
"MT","770"
"SE","1074"
"MA","404"
"RO","380"
"PI","344"
"AC","164"
"RR","184"
"TO","125"
"AP","186"
