"uf","processos"
"SP","18017"
"RS","11283"
"RJ","9293"
"MG","7162"
"PR","3941"
"SC","3116"
"DF","3596"
"PE","1212"
"BA","3070"
"CE","933"
"RN","955"
"PB","1009"
"GO","1259"
"AL","448"
"ES","1084"
"MS","1016"
"AM","986"
"PA","579"
"MT","518"
"SE","733"
"MA","314"
"RO","361"
"PI","293"
"AC","105"
"RR","233"
"TO","119"
"AP","45"
