"uf","processos"
"SP","17192"
"RS","13535"
"RJ","15344"
"MG","7035"
"PR","8257"
"SC","5009"
"DF","4044"
"PE","1860"
"BA","993"
"CE","1386"
"RN","828"
"PB","896"
"GO","1390"
"AL","1967"
"ES","579"
"MS","1062"
"AM","511"
"PA","441"
"MT","645"
"SE","425"
"MA","303"
"RO","262"
"PI","344"
"AC","166"
"RR","64"
"TO","112"
"AP","77"
