SIG_PROCEDENCIA,DSC_ASSUNTO_COMPLETO,count(ASSUNTO_PROCESSO.SEQ_ASSUNTO_PROCESSO)
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES CONTRA O MERCADO DE CAPITAIS ",1
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES DE ""LAVAGEM"" OU OCULTAçãO DE BENS, DIREITOS OU VALORES",13
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES DE TRáFICO ILíCITO E USO INDEVIDO DE DROGAS ",93
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES DE TRáFICO ILíCITO E USO INDEVIDO DE DROGAS | COLABORAçãO COM GRUPO, ORGANIZAçãO OU ASSOCIAçãO DESTINADOS à PRODUçãO OU TRáFICO DE DROGAS  ",1
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES DE TRáFICO ILíCITO E USO INDEVIDO DE DROGAS | TRáFICO DE DROGAS E CONDUTAS AFINS ",23
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES FALIMENTARES ",2
**,"DIREITO PENAL | CRIMES PREVISTOS NA LEGISLAçãO EXTRAVAGANTE | CRIMES MILITARES | ROUBO ",1
**,"DIREITO PENAL | LESõES CORPORAIS ",1
**,"DIREITO PENAL | LESõES CORPORAIS | LEVE ",1
**,"DIREITO PENAL | PARTE GERAL | APLICAçãO DA PENA ",2
**,"DIREITO PENAL | PARTE GERAL | EXTINçãO DA PUNIBILIDADE ",1
**,"DIREITO PENAL | PARTE GERAL | EXTINçãO DA PUNIBILIDADE | PRESCRIçãO ",3
**,"DIREITO PENAL | PARTE GERAL | TIPICIDADE ",26
**,"DIREITO PENAL | PERICLITAçãO DA VIDA E DA SAúDE E RIXA | OMISSãO DE SOCORRO ",1
**,"DIREITO PREVIDENCIÁRIO | BENEFíCIOS EM ESPéCIE ",4
**,"DIREITO PREVIDENCIÁRIO | RMI - RENDA MENSAL INICIAL, REAJUSTES E REVISõES ESPECíFICAS | REAJUSTES E REVISõES ESPECíFICOS ",4
**,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | ATOS PROCESSUAIS ",35
**,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | ATOS PROCESSUAIS | NULIDADE ",8
**,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAçãO / CUMPRIMENTO / EXECUçãO DE SENTENçA ",64
**,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO ",71
**,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | PROCESSO E PROCEDIMENTO | PROVAS ",2
**,"DIREITO PROCESSUAL CIVIL E DO TRABALHO | RECURSO ",2
**,"DIREITO PROCESSUAL PENAL | AçãO PENAL | EXCESSO DE PRAZO PARA INSTRUçãO / JULGAMENTO ",10
**,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE ",1285
**,"DIREITO PROCESSUAL PENAL | AçãO PENAL | NULIDADE | AUSêNCIA DE FUNDAMENTAçãO ",1
**,"DIREITO PROCESSUAL PENAL | AçãO PENAL | TRANCAMENTO ",3
**,"DIREITO PROCESSUAL PENAL | COMPETêNCIA ",1
**,"DIREITO PROCESSUAL PENAL | EXECUçãO PENAL | EXECUçãO PENAL PROVISóRIA - CABIMENTO ",1
**,"DIREITO PROCESSUAL PENAL | FALSIDADE ",10
**,"DIREITO PROCESSUAL PENAL | INVESTIGAçãO PENAL | QUEBRA DO SIGILO BANCáRIO ",1
**,"DIREITO PROCESSUAL PENAL | LIBERDADE PROVISóRIA ",14
**,"DIREITO PROCESSUAL PENAL | PRISãO DOMICILIAR / ESPECIAL ",1
**,"DIREITO PROCESSUAL PENAL | PRISãO PREVENTIVA ",491
**,"DIREITO PROCESSUAL PENAL | PRISãO PREVENTIVA | REVOGAçãO ",12
**,"DIREITO PROCESSUAL PENAL | RECURSO ",1
**,"DIREITO TRIBUTÁRIO | IMPOSTOS | ITCD - IMPOSTO DE TRANSMISSãO CAUSA MORTIS ",1
**,"REGISTROS PÚBLICOS | REGISTRO CIVIL DAS PESSOAS NATURAIS ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA ",11
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | APOSENTADORIA ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | PROMOçãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | REMOçãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | REMUNERAçãO ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MINISTéRIO PúBLICO | REMUNERAçãO ",2
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | LIMITE DE IDADE ",1
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE ",8
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROCESSO LEGISLATIVO ",39
***,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | DOMíNIO PúBLICO | TERRAS INDíGENAS ",2
