SIG_PROCEDENCIA,DSC_ASSUNTO_COMPLETO,count(ASSUNTO_PROCESSO.SEQ_ASSUNTO_PROCESSO)
GO,"DIREITO PROCESSUAL PENAL | MEDIDAS ASSECURATóRIAS | BUSCA E APREENSãO DE BENS ",2
GO,"DIREITO PROCESSUAL PENAL | MEDIDAS ASSECURATóRIAS | INDISPONIBILIDADE / SEQüESTRO DE BENS ",1
GO,"DIREITO PROCESSUAL PENAL | PRISãO DOMICILIAR / ESPECIAL ",1
GO,"DIREITO PROCESSUAL PENAL | PRISãO EM FLAGRANTE ",24
GO,"DIREITO PROCESSUAL PENAL | PRISãO PREVENTIVA ",67
GO,"DIREITO PROCESSUAL PENAL | PRISãO PREVENTIVA | REVOGAçãO ",145
GO,"DIREITO PROCESSUAL PENAL | RECURSO ",46
GO,"DIREITO PROCESSUAL PENAL | RECURSO | DENEGAçãO ",21
GO,"DIREITO PROCESSUAL PENAL | RECURSO | DESERçãO ",2
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONSELHOS REGIONAIS E AFINS (ANUIDADE) ",2
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONTRIBUIçãO SINDICAL ",16
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES CORPORATIVAS | CONTRIBUIçõES PARA O SEBRAE, SESC, SENAC, SENAI E OUTROS ",10
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS ",2
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CONTRIBUIçãO DE ILUMINAçãO PúBLICA ",7
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CONTRIBUIçãO DE INTERVENçãO NO DOMíNIO ECONôMICO (CIDE) ",5
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CONTRIBUIçãO SOBRE AçúCAR E ÁLCOOL ",5
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | CPMF/CONTRIBUIçãO PROVISóRIA SOBRE MOVIMENTAçãO FINANCEIRA ",25
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES ESPECIAIS | FGTS/FUNDO DE GARANTIA POR TEMPO DE SERVIçO ",22
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS ",105
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | 1/3 DE FéRIAS ",1
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CARGO EM COMISSãO ",3
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CONTRIBUIçãO DE AUTôNOMOS, EMPRESáRIOS (PRó-LABORE) E FACULTATIVOS ",13
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CONTRIBUIçãO SOBRE A FOLHA DE SALáRIOS ",54
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | CUSTEIO DE ASSISTêNCIA MéDICA ",6
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | GRATIFICAçãO NATALINA/13º SALáRIO ",2
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | MANDATO ELETIVO/LEI 9.506/97 ",6
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | MASSA FALIDA- RECOLHIMENTO ",2
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | SERVIDORES ATIVOS ",8
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES PREVIDENCIáRIAS | SERVIDORES INATIVOS ",61
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS ",171
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | COFINS ",129
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONTRIBUIçãO INCRA ",11
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONTRIBUIçãO SOCIAL SOBRE O LUCRO LíQUIDO ",6
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | CONTRIBUIçãO SOCIAL SOBRE O LUCRO LíQUIDO | COMPENSAçãO DE PREJUíZO ",3
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | FINSOCIAL ",31
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | FUNRURAL ",6
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | PASEP ",14
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | PIS ",131
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | SALáRIO-EDUCAçãO ",166
GO,"DIREITO TRIBUTÁRIO | CONTRIBUIçõES | CONTRIBUIçõES SOCIAIS | SEGURO ACIDENTES DO TRABALHO ",62
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO ",31
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA ",87
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA | ALíQUOTA PROGRESSIVA ",18
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA | ALíQUOTA ZERO ",2
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ALíQUOTA | ÍNDICE DA ALíQUOTA ",8
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ANISTIA ",7
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | ANULAçãO DE DéBITO FISCAL ",2
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO ",290
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | CáLCULO DE ICMS ""POR DENTRO"" ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | EXCLUSãO - ICMS ",11
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | BASE DE CáLCULO | EXCLUSãO - IPI ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | CND/CERTIDãO NEGATIVA DE DéBITO ",5
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | CREDITAMENTO ",14
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | CRéDITO PRêMIO ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | CRéDITO PRESUMIDO ",2
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | DENúNCIA ESPONTâNEA ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | EXTINçãO DO CRéDITO TRIBUTáRIO ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | EXTINçãO DO CRéDITO TRIBUTáRIO | COMPENSAçãO ",77
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | EXTINçãO DO CRéDITO TRIBUTáRIO | COMPENSAçãO COM APóLICES DA DíVIDA PúBLICA ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | EXTINçãO DO CRéDITO TRIBUTáRIO | PRESCRIçãO ",12
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | EXTINçãO DO CRéDITO TRIBUTáRIO | PRESCRIçãO | CONSTITUCIONALIDADE DO ARTIGO 4º DA LC 118/05 ",14
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | EXTINçãO DO CRéDITO TRIBUTáRIO | TDA/TíTULOS DA DíVIDA AGRáRIA ",2
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | FATO GERADOR/INCIDêNCIA ",103
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | INCENTIVOS FISCAIS ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | JUROS/CORREçãO MONETáRIA ",54
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | LANçAMENTO ",8
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | PRAZO DE RECOLHIMENTO ",9
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | REPETIçãO DE INDéBITO ",22
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | SUSPENSãO DA EXIGIBILIDADE | DEPóSITO JUDICIAL ",1
GO,"DIREITO TRIBUTÁRIO | CRéDITO TRIBUTáRIO | SUSPENSãO DA EXIGIBILIDADE | PARCELAMENTO ",4
GO,"DIREITO TRIBUTÁRIO | DíVIDA ATIVA ",13
GO,"DIREITO TRIBUTÁRIO | EMPRéSTIMOS COMPULSóRIOS ",3
GO,"DIREITO TRIBUTÁRIO | EMPRéSTIMOS COMPULSóRIOS | AQUISIçãO DE COMBUSTíVEIS ",2
GO,"DIREITO TRIBUTÁRIO | EMPRéSTIMOS COMPULSóRIOS | AQUISIçãO DE VEíCULOS AUTOMOTORES ",2
GO,"DIREITO TRIBUTÁRIO | EMPRéSTIMOS COMPULSóRIOS | ENERGIA ELéTRICA ",6
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS ",1
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ICMS/ IMPOSTO SOBRE CIRCULAçãO DE MERCADORIAS ",190
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ICMS/ IMPOSTO SOBRE CIRCULAçãO DE MERCADORIAS | ICMS / INCIDêNCIA SOBRE O ATIVO FIXO ",6
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ICMS/ IMPOSTO SOBRE CIRCULAçãO DE MERCADORIAS | ICMS/IMPORTAçãO ",5
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IOC/IOF IMPOSTO SOBRE OPERAçõES DE CRéDITO, CâMBIO E SEGURO, OU RELATIVAS A TíTULOS OU VALORES MOBILIáRIOS ",4
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IPI/ IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS ",21
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IPI/ IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS | INCIDêNCIA SOBRE DESCONTO INCONDICIONAL ",2
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IPI/ IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS | PRINCíPIO DA SELETIVIDADE ",1
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IPMF - IMPOSTO PROVISóRIO SOBRE MOVIMENTAçãO FINANCEIRA ",1
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IPTU/ IMPOSTO PREDIAL E TERRITORIAL URBANO ",37
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IPVA - IMPOSTO SOBRE PROPRIEDADE DE VEíCULOS AUTOMOTORES ",10
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPF/IMPOSTO DE RENDA DE PESSOA FíSICA ",6
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPF/IMPOSTO DE RENDA DE PESSOA FíSICA | CORREçãO DA TABELA ",1
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPF/IMPOSTO DE RENDA DE PESSOA FíSICA | INCIDêNCIA SOBRE 1/3 DE FéRIAS (ART. 7º, XVII DA CF) ",1
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPF/IMPOSTO DE RENDA DE PESSOA FíSICA | INCIDêNCIA SOBRE APOSENTADORIA ",3
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPF/IMPOSTO DE RENDA DE PESSOA FíSICA | INCIDêNCIA SOBRE LICENçA-PRêMIO/ABONO/INDENIZAçãO ",2
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPJ/IMPOSTO DE RENDA DE PESSOA JURíDICA ",45
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPJ/IMPOSTO DE RENDA DE PESSOA JURíDICA | COMPENSAçãO DE PREJUíZOS ",22
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPJ/IMPOSTO DE RENDA DE PESSOA JURíDICA | DEMONSTRAçõES FINANCEIRAS (DCTF) ",6
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | IRPJ/IMPOSTO DE RENDA DE PESSOA JURíDICA | INCIDêNCIA SOBRE LUCRO ",14
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ISS/ IMPOSTO SOBRE SERVIçOS ",72
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ITBI - IMPOSTO DE TRANSMISSãO INTERVIVOS DE BENS MóVEIS E IMóVEIS ",2
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ITCD - IMPOSTO DE TRANSMISSãO CAUSA MORTIS ",1
GO,"DIREITO TRIBUTÁRIO | IMPOSTOS | ITR/ IMPOSTO TERRITORIAL RURAL ",1
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR ",5
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR | COMPETêNCIA TRIBUTáRIA ",1
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR | IMUNIDADE  ",28
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR | IMUNIDADE  | ENTIDADES SEM FINS LUCRATIVOS ",4
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR | IMUNIDADE  | IMUNIDADE RECíPROCA ",5
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR | IMUNIDADE  | LIVROS / JORNAIS / PERIóDICOS ",2
GO,"DIREITO TRIBUTÁRIO | LIMITAçõES AO PODER DE TRIBUTAR | ISENçãO ",72
GO,"DIREITO TRIBUTÁRIO | OBRIGAçãO TRIBUTáRIA ",4
GO,"DIREITO TRIBUTÁRIO | OBRIGAçãO TRIBUTáRIA | DIMOB/DECLARAçãO DE INFORMAçõES SOBRE ATIVIDADES IMOBILíáRIAS ",1
GO,"DIREITO TRIBUTÁRIO | OBRIGAçãO TRIBUTáRIA | RESPONSABILIDADE TRIBUTáRIA ",1
GO,"DIREITO TRIBUTÁRIO | OBRIGAçãO TRIBUTáRIA | RESPONSABILIDADE TRIBUTáRIA | RESPONSABILIDADE TRIBUTáRIA DO SóCIO-GERENTE (ART. 135 III DO CTN) ",3
GO,"DIREITO TRIBUTÁRIO | OBRIGAçãO TRIBUTáRIA | RESPONSABILIDADE TRIBUTáRIA | SUBSTITUIçãO TRIBUTáRIA ",37
GO,"DIREITO TRIBUTÁRIO | PROCEDIMENTOS FISCAIS ",5
GO,"DIREITO TRIBUTÁRIO | PROCEDIMENTOS FISCAIS | AUTORIZAçãO PARA IMPRESSãO DE DOCUMENTOS FISCAIS - AIDF ",1
GO,"DIREITO TRIBUTÁRIO | PROCEDIMENTOS FISCAIS | CADASTRO DE INADIMPLENTES - CADIN ",3
GO,"DIREITO TRIBUTÁRIO | PROCEDIMENTOS FISCAIS | SIGILO FISCAL ",2
GO,"DIREITO TRIBUTÁRIO | PROCESSO ADMINISTRATIVO FISCAL ",1
GO,"DIREITO TRIBUTÁRIO | PROCESSO ADMINISTRATIVO FISCAL | DEPóSITO PRéVIO AO RECURSO ADMINISTRATIVO ",73
GO,"DIREITO TRIBUTÁRIO | REGIMES ESPECIAIS DE TRIBUTAçãO | REFIS/PROGRAMA DE RECUPERAçãO FISCAL ",2
GO,"DIREITO TRIBUTÁRIO | REGIMES ESPECIAIS DE TRIBUTAçãO | SIMPLES ",1
GO,"DIREITO TRIBUTÁRIO | TAXAS ",31
GO,"DIREITO TRIBUTÁRIO | TAXAS | ESTADUAIS ",5
GO,"DIREITO TRIBUTÁRIO | TAXAS | FEDERAIS | TAXA DE FISCALIZAçãO AMBIENTAL ",1
GO,"DIREITO TRIBUTÁRIO | TAXAS | FEDERAIS | TAXA JUDICIáRIA ",2
GO,"DIREITO TRIBUTÁRIO | TAXAS | MUNICIPAIS ",12
GO,"DIREITO TRIBUTÁRIO | TAXAS | MUNICIPAIS | TAXA DE COLETA DE LIXO ",4
GO,"DIREITO TRIBUTÁRIO | TAXAS | MUNICIPAIS | TAXA DE ILUMINAçãO PúBLICA ",11
GO,"DIREITO TRIBUTÁRIO | TAXAS | MUNICIPAIS | TAXA DE LICENCIAMENTO DE ESTABELECIMENTO ",6
GO,"DIREITO TRIBUTÁRIO | TAXAS | MUNICIPAIS | TAXA DE LIMPEZA PúBLICA ",9
GO,"REGISTROS PÚBLICOS",1
GO,"REGISTROS PÚBLICOS | REGISTRO CIVIL DAS PESSOAS NATURAIS ",2
GO,"REGISTROS PÚBLICOS | REGISTRO DE IMóVEIS ",5
GO,"REGISTROS PÚBLICOS | REGISTRO DE IMóVEIS | CANCELAMENTO DE HIPOTECA ",148
GO,"REGISTROS PÚBLICOS | REGISTRO DE IMóVEIS | INSCRIçãO NA MATRíCULA DE REGISTRO TORRENS ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",12
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | GOVERNADOR ",4
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA ",14
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | PROCESSO DISCIPLINAR / SINDICâNCIA ",7
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | QUINTO CONSTITUCIONAL ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MAGISTRATURA | REMUNERAçãO ",8
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MINISTéRIO PúBLICO ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MINISTéRIO PúBLICO | APOSENTADORIA ",4
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MINISTéRIO PúBLICO | PROMOçãO ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | MINISTéRIO PúBLICO | REMUNERAçãO ",7
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PARLAMENTARES ",6
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PARLAMENTARES | AFASTAMENTO DO CARGO ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PARLAMENTARES | APOSENTADORIA / PENSãO ESPECIAL ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PARLAMENTARES | PRESTAçãO DE CONTAS ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PREFEITO ",5
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PREFEITO | AFASTAMENTO DO CARGO ",22
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PREFEITO | PRESTAçãO DE CONTAS ",14
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLíTICOS | PREFEITO | REMUNERAçãO ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS ",25
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | ABUSO DE PODER ",5
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | ATO LESIVO AO PATRIMôNIO ARTíSTICO, ESTéTICO, HISTóRICO OU TURíSTICO ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | FISCALIZAçãO ",5
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | IMPROBIDADE ADMINISTRATIVA ",30
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | IMPROBIDADE ADMINISTRATIVA | DANO AO ERáRIO ",4
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | IMPROBIDADE ADMINISTRATIVA | ENRIQUECIMENTO ILíCITO ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | INFRAçãO ADMINISTRATIVA | INTERDIçãO ",3
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | INFRAçãO ADMINISTRATIVA | MULTAS E DEMAIS SANçõES ",8
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | INQUéRITO / PROCESSO / RECURSO ADMINISTRATIVO ",13
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENçAS ",4
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENçAS | FUNCIONAMENTO DE COMéRCIO DE DERIVADOS DE PETRóLEO ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENçAS | FUNCIONAMENTO DE ESTABELECIMENTOS EMPRESARIAIS ",6
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | COMISSãO PARLAMENTAR DE INQUéRITO - CPI | CRIAçãO / INSTALAçãO / PROSSEGUIMENTO / ENCERRAMENTO ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | COMISSãO PARLAMENTAR DE INQUéRITO - CPI | QUEBRA DE SIGILO BANCáRIO / FISCAL / TELEFôNICO ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL ",106
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | ANULAçãO ",12
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | ANULAçãO E CORREçãO DE PROVAS / QUESTõES ",3
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | CLASSIFICAçãO E/OU PRETERIçãO ",11
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | CURSO DE FORMAçãO ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | EXAME DE SAúDE E/OU APTIDãO FíSICA ",44
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | EXAME PSICOTéCNICO / PSIQUIáTRICO ",3
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | INSCRIçãO / DOCUMENTAçãO ",7
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | LIMITE DE IDADE ",3
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | PROVA DE TíTULOS ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PúBLICO / EDITAL | RESERVA DE VAGAS PARA DEFICIENTES ",1
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTRATOS ADMINISTRATIVOS ",8
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTRATOS ADMINISTRATIVOS | PAGAMENTO ATRASADO / CORREçãO MONETáRIA ",7
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE ",25
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | EFEITOS DA DECLARAçãO DE INCONSTITUCIONALIDADE ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | INCONSTITUCIONALIDADE MATERIAL ",2
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROCESSO LEGISLATIVO ",8
MA,"DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | DíVIDA ATIVA NãO-TRIBUTáRIA | MULTAS E DEMAIS SANçõES | AMBIENTAL ",1
