"area","processos"
"Processual penal","201"
"Do trabalho","465"
"Internacional","2"
"Eleitoral e processo eleitoral","20"
"Previdenciário","18"
"Processual civil e do trabalho","361"
"Da criança e do adolescente","4"
"Tributário","271"
"Do consumidor","44"
"Penal","264"
"Civil","115"
"Administrativo/público (outras)","1079"
"Registros públicos","0"
"Marítimo","0"
