"area","processos"
"Processual penal","2041"
"Do trabalho","520"
"Internacional","8"
"Eleitoral e processo eleitoral","31"
"Previdenciário","608"
"Processual civil e do trabalho","2189"
"Da criança e do adolescente","19"
"Tributário","1031"
"Do consumidor","1032"
"Registros públicos","4"
"Penal","970"
"Civil","5117"
"Administrativo/público (outras)","4644"
"Marítimo","0"
