"area","processos"
"Processual penal","1225"
"Do trabalho","1067"
"Internacional","1"
"Eleitoral e processo eleitoral","49"
"Previdenciário","194"
"Processual civil e do trabalho","1998"
"Da criança e do adolescente","15"
"Tributário","2325"
"Do consumidor","372"
"Registros públicos","6"
"Penal","802"
"Civil","1474"
"Administrativo/público (outras)","3195"
"Marítimo","0"
