"area","processos"
"Processual penal","506"
"Do trabalho","602"
"Internacional","1"
"Eleitoral e processo eleitoral","57"
"Previdenciário","81"
"Processual civil e do trabalho","1366"
"Da criança e do adolescente","12"
"Tributário","641"
"Do consumidor","130"
"Registros públicos","2"
"Penal","330"
"Civil","309"
"Administrativo/público (outras)","2544"
"Marítimo","0"
