"area","processos"
"Processual penal","155"
"Do trabalho","320"
"Eleitoral e processo eleitoral","30"
"Previdenciário","17"
"Processual civil e do trabalho","182"
"Da criança e do adolescente","3"
"Tributário","88"
"Do consumidor","34"
"Registros públicos","1"
"Penal","102"
"Civil","256"
"Administrativo/público (outras)","475"
"Internacional","0"
"Marítimo","0"
