"area","processos"
"Processual penal","1446"
"Do trabalho","2717"
"Internacional","46"
"Eleitoral e processo eleitoral","38"
"Marítimo","3"
"Previdenciário","1671"
"Processual civil e do trabalho","2868"
"Da criança e do adolescente","16"
"Tributário","2610"
"Do consumidor","791"
"Registros públicos","8"
"Penal","483"
"Civil","1176"
"Administrativo/público (outras)","5349"
