"area","processos"
"Processual penal","7877"
"Do trabalho","19033"
"Internacional","86"
"Eleitoral e processo eleitoral","149"
"Marítimo","14"
"Previdenciário","33331"
"Processual civil e do trabalho","18172"
"Da criança e do adolescente","178"
"Tributário","35741"
"Do consumidor","11291"
"Registros públicos","50"
"Penal","2739"
"Civil","18683"
"Administrativo/público (outras)","46385"
