COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,498
DIREITO DO TRABALHO,927
DIREITO ELEITORAL E PROCESSO ELEITORAL,44
DIREITO PREVIDENCIÁRIO,221
DIREITO PROCESSUAL CIVIL E DO TRABALHO,1048
DIREITO DA CRIANÇA E DO ADOLESCENTE,19
DIREITO TRIBUTÁRIO,430
DIREITO DO CONSUMIDOR,37
REGISTROS PÚBLICOS,3
DIREITO PENAL,102
DIREITO CIVIL,216
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,2312
