COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,7877
DIREITO DO TRABALHO,19033
DIREITO INTERNACIONAL,86
DIREITO ELEITORAL E PROCESSO ELEITORAL,149
DIREITO MARÍTIMO,14
DIREITO PREVIDENCIÁRIO,33331
DIREITO PROCESSUAL CIVIL E DO TRABALHO,18172
DIREITO DA CRIANÇA E DO ADOLESCENTE,178
DIREITO TRIBUTÁRIO,35741
DIREITO DO CONSUMIDOR,11291
REGISTROS PÚBLICOS,50
DIREITO PENAL,2739
DIREITO CIVIL,18683
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,46385
