COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,3316
DIREITO DO TRABALHO,22637
DIREITO INTERNACIONAL,76
DIREITO ELEITORAL E PROCESSO ELEITORAL,135
DIREITO MARÍTIMO,1
DIREITO PREVIDENCIÁRIO,16811
DIREITO PROCESSUAL CIVIL E DO TRABALHO,14696
DIREITO DA CRIANÇA E DO ADOLESCENTE,37
DIREITO TRIBUTÁRIO,28431
DIREITO DO CONSUMIDOR,3899
REGISTROS PÚBLICOS,28
DIREITO PENAL,1285
DIREITO CIVIL,6781
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,16457
