COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,352
DIREITO DO TRABALHO,1053
DIREITO ELEITORAL E PROCESSO ELEITORAL,30
DIREITO PREVIDENCIÁRIO,1581
DIREITO PROCESSUAL CIVIL E DO TRABALHO,1413
DIREITO DA CRIANÇA E DO ADOLESCENTE,4
DIREITO TRIBUTÁRIO,2651
DIREITO DO CONSUMIDOR,296
REGISTROS PÚBLICOS,2
DIREITO PENAL,148
DIREITO CIVIL,1273
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,3845
