COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,26140
DIREITO DO TRABALHO,40454
DIREITO INTERNACIONAL,146
DIREITO ELEITORAL E PROCESSO ELEITORAL,495
DIREITO MARÍTIMO,12
DIREITO PREVIDENCIÁRIO,46441
DIREITO PROCESSUAL CIVIL E DO TRABALHO,71382
DIREITO DA CRIANÇA E DO ADOLESCENTE,249
DIREITO TRIBUTÁRIO,121069
DIREITO DO CONSUMIDOR,13236
REGISTROS PÚBLICOS,159
DIREITO PENAL,6815
DIREITO CIVIL,38844
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,86128
