COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,1446
DIREITO DO TRABALHO,2717
DIREITO INTERNACIONAL,46
DIREITO ELEITORAL E PROCESSO ELEITORAL,38
DIREITO MARÍTIMO,3
DIREITO PREVIDENCIÁRIO,1671
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2868
DIREITO DA CRIANÇA E DO ADOLESCENTE,16
DIREITO TRIBUTÁRIO,2610
DIREITO DO CONSUMIDOR,791
REGISTROS PÚBLICOS,8
DIREITO PENAL,483
DIREITO CIVIL,1176
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,5349
