COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,350
DIREITO DO TRABALHO,1523
DIREITO INTERNACIONAL,8
DIREITO ELEITORAL E PROCESSO ELEITORAL,29
DIREITO PREVIDENCIÁRIO,133
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2012
DIREITO DA CRIANÇA E DO ADOLESCENTE,4
DIREITO TRIBUTÁRIO,1537
DIREITO DO CONSUMIDOR,108
REGISTROS PÚBLICOS,4
DIREITO PENAL,258
DIREITO CIVIL,515
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,8723
