COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,424
DIREITO DO TRABALHO,291
DIREITO ELEITORAL E PROCESSO ELEITORAL,18
DIREITO PREVIDENCIÁRIO,13
DIREITO PROCESSUAL CIVIL E DO TRABALHO,264
DIREITO DA CRIANÇA E DO ADOLESCENTE,5
DIREITO TRIBUTÁRIO,249
DIREITO DO CONSUMIDOR,746
DIREITO PENAL,182
DIREITO CIVIL,232
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1277
