COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,293
DIREITO DO TRABALHO,2152
DIREITO ELEITORAL E PROCESSO ELEITORAL,58
DIREITO PREVIDENCIÁRIO,88
DIREITO PROCESSUAL CIVIL E DO TRABALHO,1350
DIREITO DA CRIANÇA E DO ADOLESCENTE,2
DIREITO TRIBUTÁRIO,678
DIREITO DO CONSUMIDOR,215
REGISTROS PÚBLICOS,1
DIREITO PENAL,183
DIREITO CIVIL,633
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,2397
