COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,9489
DIREITO DO TRABALHO,30689
DIREITO INTERNACIONAL,32
DIREITO ELEITORAL E PROCESSO ELEITORAL,109
DIREITO MARÍTIMO,8
DIREITO PREVIDENCIÁRIO,43317
DIREITO PROCESSUAL CIVIL E DO TRABALHO,35189
DIREITO DA CRIANÇA E DO ADOLESCENTE,178
DIREITO TRIBUTÁRIO,56015
DIREITO DO CONSUMIDOR,13198
REGISTROS PÚBLICOS,64
DIREITO PENAL,4808
DIREITO CIVIL,52738
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,72010
