"uf","processos"
"SP","189077"
"RS","148783"
"RJ","110742"
"MG","102330"
"PR","61996"
"SC","50794"
"DF","48557"
"PE","24319"
"BA","21182"
"CE","17548"
"RN","16345"
"PB","11949"
"GO","11759"
"AL","11726"
"ES","8500"
"MS","8186"
"AM","6817"
"PA","6748"
"MT","6170"
"SE","5657"
"MA","3970"
"RO","3366"
"PI","3024"
"AC","2140"
"RR","1361"
"TO","1197"
"AP","993"
