origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,228
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,114
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,5
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,3
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,2
3ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,2
1ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,2
JUIZADOS ESPECIAIS (ART.98 DA C.F.),1
2ª TURMA RECURSAL CIVEL DO JUIZADO ESPECIAL/RS,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,1
