litigante,processos
CAIXA ECONÔMICA FEDERAL - CEF,6040
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,3474
TELEMAR NORTE LESTE SA,3225
ESTADO DA BAHIA,2287
UNIÃO,2057
TELEMAR NORTE LESTE SA - FILIAL BAHIA,573
PETRÓLEO BRASILEIRO SA - PETROBRAS,463
"TELEMAR NORTE LESTE SA - FILIAL BAHIA (NOVA DENOMINAÇÃO DA TELECOMUNICAÇÕES DO RIO DE JANEIRO SA, SUCESSORA POR INCORPORAÇÃO DA TELECOMUNICAÇÕES DA BAHIA SA)",453
TELECOMUNICAÇÕES DA BAHIA SA - TELEBAHIA,270
MINISTÉRIO PÚBLICO DO ESTADO DA BAHIA,212
