litigante,processos
ESTADO DO ACRE,448
UNIÃO,392
TRESCINCO ADMINISTRADORA E CONSÓRCIO SC LTDA,331
CAIXA ECONÔMICA FEDERAL - CEF,198
CONSÓRCIO NACIONAL HONDA LTDA,161
MINISTÉRIO PÚBLICO DO ESTADO DO ACRE,161
MAKGUTTY MOTOS E EQUIPAMENTOS LTDA,61
MINISTÉRIO PÚBLICO FEDERAL,38
BANCO DO BRASIL SA,35
SUPERIOR TRIBUNAL DE JUSTIÇA,30
