litigante,processos
ESTADO DE RORAIMA,840
UNIÃO,454
MINISTÉRIO PÚBLICO FEDERAL,238
FUNDAÇÃO NACIONAL DO ÍNDIO-FUNAI,147
MUNICÍPIO DE PACARAIMA,134
SINDICATO DOS SERVIDORES PÚBLICOS FEDERAIS NO ESTADO DE RORAIMA - SINDSEPRR,113
CAIXA ECONÔMICA FEDERAL - CEF,106
UNIÃO FEDERAL,46
SINDICATO DOS TRABALHADORES DE SAÚDE - SINTRAS-RR,40
MINISTÉRIO PÚBLICO DO ESTADO DE RORAIMA,40
