litigante,processos
CAIXA ECONÔMICA FEDERAL - CEF,20407
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,13473
UNIÃO,10016
ESTADO DO PARANÁ,3988
BRASIL TELECOM SA,1890
MUNICÍPIO DE CURITIBA,1179
CONFEDERAÇÃO NACIONAL DA AGRICULTURA - CNA,900
MINISTÉRIO PÚBLICO DO ESTADO DO PARANÁ,819
CONFEDERAÇÃO DA AGRICULTURA E PECUÁRIA DO BRASIL - CNA,706
SERCOMTEL SA - TELECOMUNICAÇÕES,701
