litigante,processos
CAIXA ECONÔMICA FEDERAL - CEF,1285
ESTADO DO MARANHÃO,806
UNIÃO,365
TELEMAR NORTE LESTE SA,288
BANCO DO ESTADO DO MARANHÃO SA - BEM,240
BANCO DO NORDESTE DO BRASIL SA,108
MINISTÉRIO PÚBLICO FEDERAL,103
MUNICÍPIO DE SÃO LUÍS,81
TELEMAR NORTE LESTE SA - FILIAL MARANHÃO,79
MINISTÉRIO PÚBLICO DO ESTADO DO MARANHÃO,71
