litigante,processos
CAIXA ECONÔMICA FEDERAL - CEF,6363
UNIÃO,3194
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,1106
ESTADO DE ALAGOAS,562
UNIÃO FEDERAL,309
"SINDICATO DOS TRABALHADORES EM SAÚDE, TRABALHO E PREVIDÊNCIA SOCIAL DO ESTADO DE ALAGOAS - SINDPREVAL",166
COMPANHIA ENERGÉTICA DE ALAGOAS - CEAL,118
UNIVERSIDADE FEDERAL DE ALAGOAS - UFAL,90
MUNICÍPIO DE MACEIÓ,77
BANCO DO NORDESTE DO BRASIL SA,73
