litigante,processos
ESTADO DE MATO GROSSO DO SUL,1822
BANCO DO BRASIL SA,633
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,412
BANCO BRADESCO SA,379
BANCO ABN AMRO REAL SA,314
SUPERIOR TRIBUNAL DE JUSTIÇA,308
UNIVERSIDADE CATÓLICA DOM BOSCO,253
BANCO ITAÚ SA,235
MINISTÉRIO PÚBLICO DO ESTADO DE MATO GROSSO DO SUL,217
EMPRESA ENERGÉTICA DE MATO GROSSO DO SUL SA - ENERSUL,217
