litigante,processos
CAIXA ECONÔMICA FEDERAL - CEF,1375
ESTADO DO PARÁ,1063
UNIÃO,736
BANCO DA AMAZÔNIA SA,313
BANCO DA AMAZÔNIA SA - BASA,287
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA AOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA SA - CAPAF,255
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,205
UNIVERSIDADE FEDERAL DO PARÁ - UFPA,203
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL SA - ELETRONORTE,192
MINISTÉRIO PÚBLICO FEDERAL,182
