litigante,processos
UNIÃO,1075
ESTADO DE RONDÔNIA,659
MINISTÉRIO PÚBLICO DO ESTADO DE RONDÔNIA,301
CAIXA ECONÔMICA FEDERAL - CEF,175
MUNICÍPIO DE PORTO VELHO,127
MINISTÉRIO PÚBLICO FEDERAL,105
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,87
GOVERNADOR DO ESTADO DE RONDÔNIA,67
BRASIL TELECOM SA,66
SUPERIOR TRIBUNAL DE JUSTIÇA,60
