litigante,processos
UNIÃO,13348
DISTRITO FEDERAL,10885
CAIXA ECONÔMICA FEDERAL - CEF,10753
PRESIDENTE DA REPÚBLICA,2222
INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS,1675
FUNDAÇÃO EDUCACIONAL DO DISTRITO FEDERAL - FEDF,854
MINISTÉRIO PÚBLICO DO DISTRITO FEDERAL E TERRITÓRIOS,816
MINISTÉRIO PÚBLICO FEDERAL,647
UNIÃO FEDERAL,623
CONGRESSO NACIONAL,514
