COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,155
DIREITO DO TRABALHO,320
DIREITO ELEITORAL E PROCESSO ELEITORAL,30
DIREITO PREVIDENCIÁRIO,17
DIREITO PROCESSUAL CIVIL E DO TRABALHO,182
DIREITO DA CRIANÇA E DO ADOLESCENTE,3
DIREITO TRIBUTÁRIO,88
DIREITO DO CONSUMIDOR,34
REGISTROS PÚBLICOS,1
DIREITO PENAL,102
DIREITO CIVIL,256
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,475
