COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,1595
DIREITO DO TRABALHO,8089
DIREITO INTERNACIONAL,10
DIREITO ELEITORAL E PROCESSO ELEITORAL,103
DIREITO PREVIDENCIÁRIO,3828
DIREITO PROCESSUAL CIVIL E DO TRABALHO,4858
DIREITO DA CRIANÇA E DO ADOLESCENTE,8
DIREITO TRIBUTÁRIO,6550
DIREITO DO CONSUMIDOR,3763
REGISTROS PÚBLICOS,9
DIREITO PENAL,448
DIREITO CIVIL,1937
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,5669
