COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,2689
DIREITO DO TRABALHO,16273
DIREITO INTERNACIONAL,106
DIREITO ELEITORAL E PROCESSO ELEITORAL,336
DIREITO PREVIDENCIÁRIO,3007
DIREITO PROCESSUAL CIVIL E DO TRABALHO,13001
DIREITO DA CRIANÇA E DO ADOLESCENTE,64
DIREITO TRIBUTÁRIO,17137
DIREITO DO CONSUMIDOR,844
REGISTROS PÚBLICOS,24
DIREITO PENAL,1775
DIREITO CIVIL,4984
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,47986
