COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,1145
DIREITO DO TRABALHO,10814
DIREITO INTERNACIONAL,4
DIREITO ELEITORAL E PROCESSO ELEITORAL,130
DIREITO PREVIDENCIÁRIO,1283
DIREITO PROCESSUAL CIVIL E DO TRABALHO,2590
DIREITO DA CRIANÇA E DO ADOLESCENTE,4
DIREITO TRIBUTÁRIO,4815
DIREITO DO CONSUMIDOR,166
REGISTROS PÚBLICOS,4
DIREITO PENAL,276
DIREITO CIVIL,852
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,7757
