COLUNA A,COLUNA B
DIREITO TRIBUTÁRIO,4
DIREITO PROCESSUAL CIVIL E DO TRABALHO,1
DIREITO DO TRABALHO,3
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,12
DIREITO ELEITORAL E PROCESSO ELEITORAL,1
