COLUNA A,COLUNA B
DIREITO PROCESSUAL PENAL,342
DIREITO DO TRABALHO,240
DIREITO ELEITORAL E PROCESSO ELEITORAL,25
DIREITO PREVIDENCIÁRIO,189
DIREITO PROCESSUAL CIVIL E DO TRABALHO,559
DIREITO DA CRIANÇA E DO ADOLESCENTE,4
DIREITO TRIBUTÁRIO,176
DIREITO DO CONSUMIDOR,37
REGISTROS PÚBLICOS,24
DIREITO PENAL,257
DIREITO CIVIL,198
DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,961
