origem,processos
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,252
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,52
2ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD. MINAS GERAIS,15
1ª TURMA REC.JUIZ.ESP.FED.-SEÇ.JUD.DE MINAS GERAIS,8
TURMA REC.JUIZ.ESP.CÍV/CRIMINAIS DE CATAGUASES/MG,6
4ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,6
7ª TURMA REC DO JUIZ. ESP. CÍVEL COM. B. HORIZONTE,5
6ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,5
1ª TURMA REC. JUIZ. ESP. CRIMINAL - BELO HORIZONTE,5
2ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE ,4
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,3
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,3
1ª TURMA REC.DOS JUIZ.ESP.CIVEIS DE BELO HORIZONTE,3
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,3
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,2
TURMA RECURSAL JUIZ.ESP.CIVEL DA COMARCA DE ARAXA,2
5ª TURMA REC.DO JUIZ.ESP.CIVEL DE BELO HORIZONTE,2
TURMA REC.JUIZ. ESP.CIV.E CRIM.DE POUSO ALEGRE/MG,2
TURMA REC.DO JUIZADO ESP.CIVEL DA COM.DE LAVRAS/MG,1
TURMA REC.CIV.JUIZ.ESP.REL.CONSUMO/BELO HORIZONTE,1
8ªTURMA REC.J.ESP.REL.CONSUMO COM. BELO HORIZONTE,1
1ª TURMA REC.JUIZ.ESP.CÍVEL COMARCA DE CONTAGEM/MG,1
1ª TURMA REC.JUIZADOS ESP.COMARCA JUIZ DE FORA/MG ,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
3ª TURMA REC.JUIZ.ESP.CIV.DA COM.DE BELO HORIZONTE,1
