origem,processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,201
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,136
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,49
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,35
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,8
TURMA NACIONAL DE UNIFORMIZAÇÃO DOS JUIZADOS ESPECIAIS FEDERAIS DA 4º REGIÃO,2
