"uf","processos"
AC,1857
AL,10066
AM,1616
AP,437
BA,11200
CE,14059
DF,27515
ES,4331
GO,5395
MA,2233
MG,38594
MS,3146
MT,3592
PA,3276
PB,6336
PE,14211
PI,1411
PR,18629
RJ,42911
RN,6567
RO,1349
RR,390
RS,86236
SC,25290
SE,3240
SP,99110
TO,1496
