"uf","processos"
AC,696
AL,2009
AM,5671
AP,443
BA,21291
CE,4584
DF,28686
ES,5771
GO,7662
MA,2466
MG,54563
MS,6250
MT,3002
PA,5179
PB,6521
PE,14665
PI,1923
PR,30426
RJ,67282
RN,10048
RO,2068
RR,2788
RS,94445
SC,24083
SE,3963
SP,134511
TO,1103
