litigante,processos
EST DE GO,1470
UNIÃO,1184
CEF,984
MIN PUB DO EST DE GO,788
INSS,715
BANCO ABN AMRO REAL SA,701
BANCO DO BRASIL SA,640
BANCO ITAÚ SA,388
SUP TRIBUNAL DE JUS,212
BANCO BRADESCO SA,212
