litigante,processos
UNIÃO,13348
DF,10905
CEF,10754
PRES DA REPÚBLICA,2222
INSS,1686
FEDF,855
MIN PUB DO DF E TERRITÓRIOS,816
MIN PUB FED,647
UNIÃO FED,623
CONGRESSO NACIONAL,514
