litigante,processos
EST DO ES,1327
UNIÃO,1194
CEF,823
INSS,704
ARACRUZ CELULOSE SA,434
BANESTES,336
MIN PUB DO EST DO ES,335
CST,261
MUN DE VITÓRIA,223
TELEMAR NORTE LESTE SA,218
