litigante,processos
CEF,43157
EST DE MG,13422
UNIÃO,7811
FIAT AUTOMÓVEIS SA,6636
TELEMAR NORTE LESTE SA,5615
INSS,5031
MUN DE BELO HORIZONTE,4464
MIN PUB DO EST DE MG,2252
IPSEMG,2157
FNDE,746
