litigante,processos
EST DO AM,3244
UNIÃO,1812
FUNAI,479
MANAUS ENERGIA SA,306
INSS,291
AMAZONPREV,275
CEF,245
SEDUC,230
TRIBUNAL SUP DO TRABALHO,214
MUN DE MANAUS,188
