litigante,processos
INSS,9098
CEF,5923
UNIÃO,4299
EST DE PE,2055
BANDEPE,976
SUP TRIBUNAL DE JUS,301
BANCO BANORTE SA (EM LIQUIDAÇÃO EXTRAJUDICIAL),241
TELEMAR NORTE LESTE SA,219
MIN PUB FED,215
BANCO CENTRAL DO BRASIL,184
