"area","processos"
"Administrativo/público (outras)","5092"
"Civil","6409"
"Da criança e do adolescente","15"
"Do consumidor","769"
"Do trabalho","1573"
"Eleitoral e processo eleitoral","60"
"Internacional","10"
"Marítimo","0"
"Penal","623"
"Previdenciário","674"
"Processual civil e do trabalho","3616"
"Processual penal","1875"
"Registros públicos","157"
"Tributário","2687"
