"area","processos"
"Administrativo/público (outras)","10582"
"Civil","1706"
"Da criança e do adolescente","4"
"Do consumidor","260"
"Do trabalho","7228"
"Eleitoral e processo eleitoral","20"
"Internacional","9"
"Marítimo","0"
"Penal","154"
"Previdenciário","1735"
"Processual civil e do trabalho","2201"
"Processual penal","372"
"Registros públicos","3"
"Tributário","2112"
