"area","processos"
"Administrativo/público (outras)","16457"
"Civil","6781"
"Da criança e do adolescente","37"
"Do consumidor","3899"
"Do trabalho","22637"
"Eleitoral e processo eleitoral","135"
"Internacional","76"
"Marítimo","1"
"Penal","1285"
"Previdenciário","16811"
"Processual civil e do trabalho","14696"
"Processual penal","3316"
"Registros públicos","28"
"Tributário","28431"
