"area","processos"
"Administrativo/público (outras)","3845"
"Civil","1273"
"Da criança e do adolescente","4"
"Do consumidor","296"
"Do trabalho","1053"
"Eleitoral e processo eleitoral","30"
"Internacional","0"
"Marítimo","0"
"Penal","148"
"Previdenciário","1581"
"Processual civil e do trabalho","1413"
"Processual penal","352"
"Registros públicos","2"
"Tributário","2651"
