"area","processos"
"Administrativo/público (outras)","86128"
"Civil","38844"
"Da criança e do adolescente","249"
"Do consumidor","13236"
"Do trabalho","40454"
"Eleitoral e processo eleitoral","495"
"Internacional","146"
"Marítimo","12"
"Penal","6815"
"Previdenciário","46441"
"Processual civil e do trabalho","71382"
"Processual penal","26140"
"Registros públicos","159"
"Tributário","121069"
