"area","processos"
"Administrativo/público (outras)","22916"
"Civil","5984"
"Da criança e do adolescente","114"
"Do consumidor","1515"
"Do trabalho","13020"
"Eleitoral e processo eleitoral","48"
"Internacional","18"
"Marítimo","2"
"Penal","1189"
"Previdenciário","21588"
"Processual civil e do trabalho","10236"
"Processual penal","2417"
"Registros públicos","6"
"Tributário","24028"
