"area","processos"
"Administrativo/público (outras)","4595"
"Civil","346"
"Da criança e do adolescente","1"
"Do consumidor","62"
"Do trabalho","6693"
"Eleitoral e processo eleitoral","43"
"Internacional","10"
"Marítimo","2"
"Penal","96"
"Previdenciário","1333"
"Processual civil e do trabalho","1499"
"Processual penal","247"
"Registros públicos","2"
"Tributário","1772"
