"area","processos"
"Administrativo/público (outras)","8723"
"Civil","515"
"Da criança e do adolescente","4"
"Do consumidor","108"
"Do trabalho","1523"
"Eleitoral e processo eleitoral","29"
"Internacional","8"
"Marítimo","0"
"Penal","258"
"Previdenciário","133"
"Processual civil e do trabalho","2012"
"Processual penal","350"
"Registros públicos","4"
"Tributário","1537"
