"area","processos"
"Administrativo/público (outras)","961"
"Civil","198"
"Da criança e do adolescente","4"
"Do consumidor","37"
"Do trabalho","240"
"Eleitoral e processo eleitoral","25"
"Internacional","0"
"Marítimo","0"
"Penal","257"
"Previdenciário","189"
"Processual civil e do trabalho","559"
"Processual penal","342"
"Registros públicos","24"
"Tributário","176"
