"area","processos"
"Administrativo/público (outras)","4644"
"Civil","5117"
"Da criança e do adolescente","19"
"Do consumidor","1032"
"Do trabalho","520"
"Eleitoral e processo eleitoral","31"
"Internacional","8"
"Marítimo","0"
"Penal","970"
"Previdenciário","608"
"Processual civil e do trabalho","2189"
"Processual penal","2041"
"Registros públicos","4"
"Tributário","1031"
