Origem,Processos
TURMA REC. JUIZADOS ESPECIAIS FEDERAIS,10791
TURMA DE RECURSOS CIVEIS DOS JUIZADOS ESPECIAIS,3259
COLÉGIO RECURSAL DO JUIZADO ESPECIAL CÍVEL,84
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.SANTA CATARINA,49
TURMA RECURSAL DO JUIZADO ESPECIAL CRIMINAL,27
CONS REC. DOS JUIZADOS ESP. CIVEIS E CRIMINAIS,11
JUIZADO ESPECIAL CRIMINAL DE BELO HORIZONTE/MG,8
TURMA RECURSAL DE JUIZADOS ESPECIAIS ESTADUAIS,4
COLÉGIO RECURSAL DO JUIZADO DE PEQUENAS CAUSAS,2
COLÉGIO REC. DO JUIZADO ESPECIAL DE SANTOS,1
TURMA JULG. CRIM. JUIZADOS ESP. COMARCA GOIÂNIA-GO,1
TURMA REC.JUIZ.ESP.FED-SEÇ.JUD.DISTRITO FEDERAL ,1
JUIZADO ESPECIAL CRIM. DA COM.DE BELO HORIZONTE,1
COLEGIO REC.JUIZ.ESP.CIVEL DA COMARCA DE AMPARO,1
CONSELHO RECURSAL DOS JUIZADOS ESPECIAIS CÍVEIS E CRIMINAIS DO ESTADO DO RIO DE JANEIRO.,1
TURMA RECURSAL DOS JUIZADOS ESPECIAIS FEDERAIS DA 1º REGIÃO,1
JUIZADOS ESPECIAIS CIVEIS E CRIMINAIS DE MANAUS/AM,1
